Symbol,Date,Open,High,Low,Close,Volume
MSON,7-Aug-20,13.92,14.48,13.92,14.37,58600
MSTR,7-Aug-20,123,124.01,122.34,123.39,36900
MSVB,7-Aug-20,11.92,12,11.75,11.9,4700
MTBC,7-Aug-20,11.97,13.4,11.35,11.95,393100
MTBCP,7-Aug-20,25.5,25.65,25.5,25.6495,23800
MTC,7-Aug-20,1.32,1.32,1.26,1.29,236700
MTCH,7-Aug-20,114.44,116.25,113.03,115.88,2267000
MTEM,7-Aug-20,10.53,11.88,9.87,11.52,469400
MTEX,7-Aug-20,17.98,18.26,17.75,18.26,4100
MTLS,7-Aug-20,25.67,26.38,25.04,25.6,62300
MTP,7-Aug-20,2.1,2.15,2.02,2.05,276000
MTRX,7-Aug-20,9.29,9.49,9.22,9.49,87600
MTSC,7-Aug-20,22.48,23.95,22.2,23.94,173400
MTSI,7-Aug-20,40.93,41.47,39.65,39.98,454900
MTSL,7-Aug-20,1.53,1.56,1.45,1.525,101300
MU,7-Aug-20,48.69,49.1792,48.05,48.75,13637300
MVBF,7-Aug-20,12.91,13.44,12.85,13.04,6100
MVIS,7-Aug-20,1.84,1.84,1.7,1.71,10078800
MWK,7-Aug-20,7.21,7.989,7.21,7.74,69900
MXIM,7-Aug-20,68.72,69.524,68.32,68.69,5036900
MYFW,7-Aug-20,14.26,14.805,14.26,14.59,7000
MYGN,7-Aug-20,12.29,12.54,12.09,12.19,453500
MYL,7-Aug-20,16.21,16.42,16.005,16.355,3873700
MYOK,7-Aug-20,100.01,104.22,99.61,103.4,312200
MYOS,7-Aug-20,1.8,1.92,1.8,1.83,482400
MYRG,7-Aug-20,37.11,38.1,35.93,38.1,68400
MYSZ,7-Aug-20,1.29,1.3082,1.25,1.29,150500
MYT,7-Aug-20,0.43,0.4334,0.417,0.43,5865200
NAII,7-Aug-20,6.6965,6.965,6.65,6.89,1800
NAKD,7-Aug-20,0.4213,0.429,0.411,0.4185,1977300
NAOV,7-Aug-20,1.48,1.56,1.48,1.5,25300
NARI,7-Aug-20,65.42,67.1,64.21,65.27,467200
NATH,7-Aug-20,52,52.75,51.25,51.25,4700
NATI,7-Aug-20,35.99,36.58,35.99,36.26,471100
NATR,7-Aug-20,10,10.89,10,10.74,36700
