,Symbol,Volume
895,DMPI,260200
896,DMRC,81000
897,DMTK,90500
898,DMXF,600
899,DNKN,918500
900,DNLI,1365400
901,DOCU,5653400
902,DOGZ,1500
903,DOMO,617800
904,DOOO,44600
905,DORM,114200
906,DOX,591000
907,DOYU,4629000
908,DPHC,3270000
909,DPHCU,90200
910,DPHCW,554300
911,DRAD,393300
912,DRADP,300
913,DRIO,641800
914,DRIOW,168900
915,DRIV,21800
916,DRNA,709700
917,DRRX,2352700
918,DRTT,220200
919,DSGX,98000
920,DSKE,714700
921,DSKEW,1137500
922,DSPG,125200
923,DSWL,16500
924,DTEA,98900
925,DTIL,314400
926,DTSS,480700
927,DUO,32200
928,DUOT,2800
929,DUSA,6100
930,DVAX,8205200
931,DVLU,600
932,DVOL,6100
933,DVY,931300
934,DWAS,8600
935,DWAT,1000
936,DWAW,3300
937,DWEQ,1600
938,DWFI,20000
939,DWLD,11400
940,DWPP,400
941,DWSH,130900
942,DWSN,21300
943,DXCM,928800
944,DXGE,1100
945,DXJS,2900
946,DXLG,2984500
947,DXPE,121800
948,DXYN,100700
949,DYAI,97100
950,DYNT,156300
951,DZSI,94200
952,EA,1514800
953,EARS,364800
954,EAST,85100
955,EBAY,6369400
956,EBAYL,35000
957,EBIX,654200
958,EBIZ,120800
959,EBMT,16400
960,EBON,222100
961,EBSB,104100
962,EBTC,26700
963,ECHO,118000
964,ECOL,221600
965,ECOLW,3400
966,ECOR,968600
967,ECPG,816400
968,EDAP,66900
969,EDIT,2141400
970,EDNT,223100
971,EDOC,602500
972,EDRY,123100
973,EDSA,392900
974,EDTK,60700
975,EDUC,308500
976,EDUT,134000
977,EEFT,345300
978,EEMA,16100
979,EFAS,5300
980,EFOI,130600
981,EFSC,134800
982,EGAN,172700
983,EGBN,107400
984,EGLE,193600
985,EGOV,302400
986,EGRX,266900
987,EH,61800
988,EHTH,1737900
989,EIDX,51600
990,EIGI,621500
991,EIGR,280000
992,EKSO,93900
993,ELOX,39400
994,ELSE,74100
995,ELTK,19200
996,EMB,1806300
997,EMCB,500
998,EMCF,300
999,EMIF,3500
1000,EMKR,57000
1001,EML,22900
1002,EMXC,10900
1003,ENDP,4621900
1004,ENG,583500
1005,ENLV,40500
1006,ENOB,154800
1007,ENPH,3723300
1008,ENSG,368700
1009,ENTA,117200
1010,ENTG,1063200
1011,ENTX,130100
1012,ENZL,214100
1013,EOLS,333800
1014,EPAY,566400
1015,EPIX,35000
1016,EPSN,2000
1017,EPZM,712100
1018,EQ,180500
1019,EQBK,34800
1020,EQIX,224800
1021,EQRR,200
1022,ERESU,17100
1023,ERIC,5947200
1024,ERIE,40800
1025,ERII,216600
1026,ESCA,55000
1027,ESEA,106900
1028,ESGD,353000
1029,ESGE,366700
1030,ESGR,31900
1031,ESGRO,15100
1032,ESGRP,26000
1033,ESGU,416500
1034,ESLT,25100
1035,ESPO,795500
1036,ESPR,645600
1037,ESQ,15100
1038,ESSA,7100
1039,ESSC,5800
1040,ESSCR,7400
1041,ESSCU,2300
1042,ESSCW,96700
1043,ESTA,65200
1044,ESXB,32800
1045,ETACU,1221000
1046,ETFC,1158900
1047,ETNB,53600
1048,ETON,196700
1049,ETSY,5898500
1050,ETTX,51600
1051,EUFN,605300
1052,EVBG,1161400
1053,EVER,899700
1054,EVFM,2922500
1055,EVGN,80800
1056,EVK,29600
1057,EVLO,47100
1058,EVOK,240900
1059,EVOL,36600
1060,EVOP,405600
1061,EVSI,359800
1062,EVSIW,27400
1063,EWBC,821000
1064,EWJE,100
1065,EWJV,1400
1066,EWZS,7200
1067,EXAS,1545600
1068,EXC,6261900
1069,EXEL,2725800
1070,EXFO,13000
1071,EXLS,122900
1072,EXPC,13300
1073,EXPD,1169300
1074,EXPE,3199700
1075,EXPI,1185800
1076,EXPO,205600
1077,EXTR,957900
1078,EYE,1554400
1079,EYEG,86400
1080,EYEN,186900
1081,EYES,273000
1082,EYPT,853800
1083,EZPW,353700
1084,FAAR,4100
1085,FAB,1400
1086,FAD,1200
1087,FALN,34400
1088,FAMI,848000
1089,FANG,1584200
1090,FANH,89600
1091,FARM,206300
1092,FARO,106200
1093,FAST,2655600
1094,FAT,11500
1095,FATBP,2700
1096,FATE,507700
1097,FB,72766300
1098,FBIO,524700
1099,FBIOP,2100
1100,FBIZ,15700
1101,FBMS,77600
1102,FBNC,147500
1103,FBRX,37000
1104,FBSS,1100
1105,FCA,3200
1106,FCAL,6700
1107,FCAN,300
1108,FCAP,2200
1109,FCBC,22900
1110,FCBP,4400
1111,FCCO,13300
1112,FCCY,7900
1113,FCEF,1100
1114,FCEL,12552500
1115,FCFS,269300
1116,FCNCA,26300
1117,FCNCP,18300
1118,FCRD,58300
1119,FCVT,37000
1120,FDBC,3200
1121,FDIV,800
1122,FDNI,24700
1123,FDT,25800
1124,FDUS,388300
1125,FDUSG,4300
1126,FDUSL,4200
1127,FDUSZ,12600
1128,FEIM,5700
1129,FELE,148700
1130,FEM,64100
1131,FEMB,143900
1132,FEMS,7200
1133,FENC,756200
1134,FEP,25500
1135,FEUZ,200
1136,FEX,25800
1137,FEYE,5674300
1138,FFBC,311200
1139,FFBW,11100
1140,FFHL,17900
1141,FFIC,105400
1142,FFIN,336400
1143,FFIV,687000
1144,FFNW,11300
1145,FFWM,182000
1146,FGBI,1700
1147,FGEN,1146500
1148,FGM,2900
1149,FHB,1061200
1150,FIBK,136100
1151,FID,800
1152,FINX,135600
1153,FISI,32700
1154,FISV,4631400
1155,FITB,4213500
1156,FITBI,27400
1157,FITBO,14900
1158,FITBP,2600
1159,FIVE,878100
1160,FIVN,814300
1161,FIXD,605400
1162,FIXX,430300
1163,FIZZ,309600
1164,FJP,700
1165,FKO,100
1166,FKU,3100
1167,FLDM,3787700
1168,FLEX,3784300
1169,FLGT,495000
1170,FLIC,72100
1171,FLIR,3724900
1172,FLL,1221100
1173,FLMN,81800
1174,FLMNW,100
1175,FLN,200
1176,FLNT,174000
1177,FLWS,447100
1178,FLXN,743800
1179,FLXS,57900
1180,FMAO,11600
1181,FMB,153600
1182,FMBH,21600
1183,FMBI,611100
1184,FMBIO,36800
1185,FMBIP,25000
1186,FMCI,760600
1187,FMCIU,2500
1188,FMCIW,258600
1189,FMHI,19600
1190,FMK,1200
1191,FMNB,63300
1192,FMTX,309300
1193,FNCB,16800
1194,FNHC,36400
1195,FNK,6400
1196,FNKO,1934500
1197,FNLC,7600
1198,FNWB,11400
1199,FNX,19500
1200,FNY,24800
1201,FOCS,441700
1202,FOLD,1764800
1203,FONR,41300
1204,FORD,53400
1205,FORK,20500
1206,FORM,802900
1207,FORR,31700
1208,FORTY,100
1209,FOSL,1429300
1210,FOX,1874500
1211,FOXA,7072600
1212,FOXF,388900
1213,FPA,400
1214,FPAY,129100
1215,FPRX,376800
1216,FPXE,200
1217,FPXI,61300
1218,FRAF,5900
1219,FRAN,438000
1220,FRBA,34300
1221,FRBK,110100
1222,FREE,189100
1223,FREEW,76800
1224,FREQ,146400
1225,FRG,168600
1226,FRGI,378500
1227,FRHC,185700
1228,FRME,171100
1229,FRPH,32200
1230,FRPT,270000
1231,FRSX,2389800
1232,FRTA,273800
1233,FSBW,3900
1234,FSCT,352300
1235,FSEA,17300
1236,FSFG,1000
1237,FSLR,5480700
1238,FSRV,136500
1239,FSTR,25700
1240,FSV,76200
